,m,R,|R|
399,,F₃₂ × F₄₁,1312
400,,F₆₄ × F₉,576
401,73,F₃ × F₇₁,213
402,,F₂₇ × F₄₇,1269
403,,F₂₅ × F₄₉,1225
404,,F₇ × F₆₇,469
405,,F₁₃ × F₆₁,793
406,,F₃₁ × F₄₃,1333
407,,F₃₇ × F₃₇,1369
408,74,F₂ × F₃ × F₃ × F₅,90
409,,F₂ × F₇₃,146
410,,F₄ × F₇₁,284
411,,F₈ × F₆₇,536
412,,F₁₆ × F₅₉,944
413,,F₃₂ × F₄₃,1376
414,,F₆₄ × F₁₁,704
415,75,F₃ × F₇ × F₇,147
416,,F₃ × F₇₃,219
417,,F₉ × F₆₇,603
418,,F₂₇ × F₄₉,1323
419,,F₅ × F₇₁,355
420,,F₁₇ × F₅₉,1003
421,,F₂₃ × F₅₃,1219
422,,F₂₉ × F₄₇,1363
423,76,F₂ × F₂ × F₂ × F₂ × F₅,80
424,,F₂ × F₂ × F₂₅,100
425,,F₄ × F₈ × F₅,160
426,,F₄ × F₇₃,292
427,,F₈ × F₄ × F₅,160
428,,F₁₆ × F₆₁,976
429,,F₆₄ × F₁₃,832
430,77,F₅ × F₇₃,365
431,,F₂₅ × F₅₃,1325
432,,F₇ × F₇₁,497
433,,F₄₉ × F₂₉,1421
434,,F₁₁ × F₆₇,737
435,,F₁₇ × F₆₁,1037
436,,F₁₉ × F₅₉,1121
437,,F₃₁ × F₄₇,1457
438,,F₃₇ × F₄₁,1517
439,78,F₂ × F₂ × F₂ × F₁₁,88
440,,F₂ × F₄ × F₄ × F₃,96
441,,F₂ × F₃ × F₁₉,114
442,,F₂ × F₉ × F₇,126
443,,F₄ × F₂ × F₄ × F₃,96
444,,F₄ × F₄ × F₂ × F₃,96
445,,F₈ × F₇₁,568
446,,F₃₂ × F₄₇,1504
447,79,F₂ × F₈ × F₈,128
448,,F₈ × F₂ × F₈,128
449,,F₈ × F₈ × F₂,128
450,,F₁₆ × F₆₄,1024
451,,F₆₄ × F₁₆,1024
452,,F₉ × F₇₁,639
453,,F₂₇ × F₅₃,1431
454,,F₅ × F₅ × F₇,175
455,,F₇ × F₇₃,511
456,,F₄₉ × F₃₁,1519
457,,F₁₃ × F₆₇,871
458,,F₁₉ × F₆₁,1159
459,,F₃₇ × F₄₃,1591
460,80,F₂ × F₇₉,158
461,,F₈ × F₇₃,584
462,,F₃₂ × F₄₉,1568
463,,F₆₄ × F₁₇,1088
464,81,F₃ × F₇₉,237
465,,F₉ × F₇₃,657
466,,F₁₁ × F₇₁,781
467,,F₂₃ × F₅₉,1357
468,,F₂₉ × F₅₃,1537
469,,F₄₁ × F₄₁,1681
470,82,F₂ × F₂ × F₈ × F₃,96
471,,F₂ × F₂ × F₂₇,108
472,,F₂ × F₈ × F₂ × F₃,96
473,,F₂ × F₈₁,162
474,,F₂ × F₅ × F₁₃,130
475,,F₄ × F₇₉,316
476,,F₈ × F₂ × F₂ × F₃,96
477,,F₁₆ × F₆₇,1072
478,,F₆₄ × F₁₉,1216
479,83,F₂ × F₄ × F₁₆,128
